,districtFull,medianIncome,meanIncome,over75,over200,l150h200,under50,under40,under25,prcntCollege,prcntWhite,prcntBlack,prcntAsian,prcntLat,industry,rural,urbanLoose,urbanStrict,urbanAll,district,state,distNum,handle,party,policy,homestyle,other,prcntHome,prcntPolicy,prcntHomeOther
1,"Congressional District (at Large) (113th Congress), Alaska",68818,85203,45.4,5.5,7.5,35.9,23.9,15.7,27.5,73.7,5,7.2,5.8,5.2,0.403880547,0.401626233,0.194493219,0.596119453,AK,AK,0,repdonyoung,R,452,241,1,0.347262248,0.65129683,0.347763348
2,"Congressional District (at Large) (113th Congress), Delaware",59144,76213,38.8,4.5,5.2,42,28.9,19.4,28.6,72.3,23,3.8,8.4,1.1,0.164514579,0.618867413,0.216618008,0.835485421,DE,DE,0,johncarneyde,D,665,556,1,0.454991817,0.544189853,0.455364455
3,"Congressional District (at Large) (113th Congress), North Dakota",52427,68186,32.8,3.5,3.3,48,33.6,22.7,27.3,91.6,1.7,1.4,2.2,8.8,0.426642058,0.385640225,0.187717718,0.573357942,ND,ND,0,kevincramer,R,465,388,2,0.45380117,0.543859649,0.454865182
4,"Congressional District (at Large) (113th Congress), South Dakota",48900,62843,29,2.5,2.8,50.9,35.5,23.9,26.4,87.6,1.9,1.3,2.9,7.1,0.447000589,0.289149731,0.26384968,0.552999411,SD,SD,0,repkristinoem,D,816,661,6,0.445718139,0.550236008,0.447528775
5,"Congressional District (at Large) (113th Congress), Wyoming",55979,69744,35.5,2.7,4.2,44.4,30.6,19.9,24.5,93.6,1.5,1.2,9.2,12.1,0.378030153,0.235603434,0.386366414,0.621969847,WY,WY,0,cynthialummis,R,767,362,5,0.319223986,0.676366843,0.320637733
6,"Congressional District 1 (113th Congress), Arizona",46297,59686,27.1,2.3,3.1,53.3,37.8,27.2,23.3,66.9,3.2,2.2,20.6,4.4,0.401784887,0.286940679,0.311274434,0.598215113,AZ-01,AZ,1,ann_kirkpatrick,D,295,471,4,0.611688312,0.383116883,0.614882507
7,"Congressional District 1 (113th Congress), Arkansas",35639,48339,18.8,1.3,1.7,64.8,49.3,36,14.6,80.2,18.7,0.6,2.9,5.7,0.568256303,0.16834934,0.263394358,0.431743697,AR-01,AR,1,reprickcrawford,R,798,672,4,0.455902307,0.541383989,0.457142857
8,"Congressional District 1 (113th Congress), California",44522,59140,27,2.4,3.3,54.8,40,28.4,21.8,90.6,2.3,3.6,12.5,4.1,0.399395343,0.288384279,0.312220378,0.600604657,CA-01,CA,1,douglamalfa,R,1995,537,11,0.211167912,0.784506488,0.212085308
9,"Congressional District 1 (113th Congress), Colorado",51481,76096,34.5,5.8,5.2,48.6,35.3,25,42.7,77.6,9.9,4.2,28.6,1,2.97E-06,0.999997033,0,0.999997033,CO-01,CO,1,repdianadegette,D,666,287,4,0.299895507,0.695924765,0.30115425
10,"Congressional District 1 (113th Congress), Connecticut",63049,82518,42.2,5.9,6.7,40.3,28.9,20.6,33.9,74.6,16.4,5.3,15.1,0.2,0.060078645,0.908925367,0.030995989,0.939921355,CT-01,CT,1,repjohnlarson,D,606,468,2,0.434944238,0.563197026,0.43575419
11,"Congressional District 1 (113th Congress), Georgia",44761,59244,26.7,2.5,2.8,54.8,39.5,28,23.2,65.9,30.8,2.2,6.2,1.4,0.296155386,0.515268778,0.188575836,0.703844614,GA-01,GA,1,jackkingston,R,1022,352,8,0.254703329,0.739507959,0.256186317
12,"Congressional District 1 (113th Congress), Hawaii",69430,86521,46.5,6,7.4,35.1,22.9,15.4,33.3,33.1,3.2,67.7,7.3,0.5,0.002055433,0.997944567,0,0.997944567,HI-01,HI,1,rephanabusa,D,479,457,4,0.486170213,0.509574468,0.488247863
13,"Congressional District 1 (113th Congress), Idaho",46399,58563,25.2,1.8,2.7,53.2,37.4,24.9,23.8,95.6,0.8,1.8,10.2,4.5,0.360773213,0.500441556,0.138785232,0.639226787,ID-01,ID,1,raul_labrador,R,471,360,2,0.432172869,0.56542617,0.433212996
