response_date,grade,happy,cyear,height_ft,height_in,height_origil,sleep,sharples,exp_gpa,gender,hpbooks
2/2/2017,A+,7,3,5,9,,8,7,3,1,
2/2/2017,B+,6,3,5,2,,7.5,7,3.2,2,
2/2/2017,B,4,3,6,0,,6,5,3.2,1,
2/2/2017,,7,3,5,8,,8,7,3.7,1,
2/2/2017,A-,6,3,5,3,,7.5,6,3.5,2,
2/2/2017,A-,6,4,5,6,,7.5,5,3.5,2,
2/2/2017,B+,7,4,5,8,,8,2,3.4,2,
2/2/2017,B+,4,4,5,5,,7.5,6,3.4,2,
2/2/2017,A,6,2,6,1,,7.5,3,3.5,1,
2/2/2017,B+,6,3,5,2,,8.5,3,3.2,2,
2/2/2017,A,6,2,5,3,,8,5,3.3,2,
2/2/2017,A-,6,3,5,4,,7,4,3.2,2,
2/2/2017,A,7,3,5,8,,8,7,3.5,2,
2/2/2017,B+,5,3,6,0,,7,6,3.7,1,
2/2/2017,B,6,3,6,1,,7.5,5.5,3.2,1,
2/2/2017,A-,7,3,5,7,,6,6,3.6,2,
2/2/2017,A-,6,4,5,9,,6.5,5,3.5,1,
2/2/2017,A-,5,4,6,1,,8,7,3.5,1,
2/2/2017,A,6,3,5,8,,7,6,3.6,1,
2/2/2017,A,7,4,6,3,,9,6,3.3,1,
2/2/2017,A-,7,2,5,10,,8,6,3,1,
2/2/2017,A,6,3,5,5,,8.5,5,3.4,2,
2/2/2017,A,4,3,5,8,,7,7,3.2,1,
2/2/2017,A-,6,2,5,9,,7.5,8,3.8,1,
2/2/2017,A+,6,4,6,2,,8,6,3.34,1,
2/2/2017,A-,7,3,6,6,,8,6,3,1,
2/2/2017,B,7,3,5,11,,6.5,3,3.15,1,
2/2/2017,A,7,2,6,0,,8,1.5,3.5,1,
2/2/2017,B+,6,2,5,8,,5.5,5,3,1,
2/2/2017,B+,5,3,6,0,,8,4,3.4,1,
2/2/2017,A-,5,3,5,10,,8,5,3.6,1,
2/2/2017,A,6,2,6,1,,6.5,6,3.3,1,
2/2/2017,B,6,2,5,8,,8,6,3.5,1,
2/2/2017,A-,6,4,6,5,,8.5,6,3.3,1,
2/2/2017,A-,5,3,5,10,,8,7,3,1,
2/2/2017,A-,6,3,6,0,,7,6,3.2,1,
2/2/2017,A,6,3,6,5,,7,3,3.3,1,
2/2/2017,A-,6,3,5,7,,8,6,3.3,1,
2/2/2017,A-,6,2,5,3,,7,6,3.4,2,
2/2/2017,A,5,4,6,1,,7,3,3.4,1,
2/2/2017,B+,5,2,5,4,,7,4,3.3,2,
2/2/2017,B,6,3,5,6,,7,3,3.3,2,
2/2/2017,A,6,3,6,0,,7,6,3.5,2,
2/2/2017,A,7,3,5,6,,7,7,3.1,1,
2/2/2017,A-,6,3,6,2,,6,5,3.2,1,
2/2/2017,A-,5,3,5,11,,6.5,5,3,1,
2/2/2017,B+,5,3,5,7,,6.5,7,3,,
