,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
49761,2012,1,F,,2,8,-3,10,,,,,,,,,0,0,1
49762,2012,2,M,4,2,28,-3,10,,30,85,40,84,15,70,5,0,0,1
49763,2012,3,F,2,2,8,-3,14,,70,60,70,85,85,97,50,0,0,1
49764,2012,4,F,,1,8,-3,14,,85,97,97,85,60,97,50,0,0,1
49765,2012,5,M,5,2,50,-1,12,,40,85,60,60,40,97,40,0,0,1
49766,2012,6,M,,2,8,0,10,,20,50,45,45,25,50,50,0,0,0
49767,2012,7,F,1,2,8,-3,12,,70,50,85,70,50,70,,0,0,1
49768,2012,8,F,,2,8,-1,12,,85,70,97,85,85,97,97,0,0,1
49769,2012,9,F,5,2,50,-3,16,,40,50,40,70,50,50,30,0,0,1
49770,2012,10,M,5,2,28,2,16,1,70,50,60,40,50,70,30,1,1,0
49771,2012,11,M,5,2,98,1,16,1,60,50,40,70,15,85,15,1,1,0
49772,2012,12,M,5,2,98,1,16,,60,50,45,45,40,85,15,0,1,0
49773,2012,13,F,5,1,75,-2,14,1,40,85,85,60,70,85,40,1,0,1
49774,2012,14,F,2,2,50,0,14,,50,50,50,50,50,60,40,0,0,0
49775,2012,15,F,6,2,75,3,16,1,70,40,60,0,30,85,0,1,1,0
49776,2012,16,M,2,2,8,2,16,1,50,50,50,15,50,50,50,1,1,0
49777,2012,17,M,5,2,75,2,16,1,97,0,40,0,40,97,40,1,1,0
49778,2012,18,F,0,1,28,-3,12,,50,60,60,85,60,85,70,0,0,1
49779,2012,19,F,1,1,8,2,12,,60,50,50,50,70,50,60,0,1,0
49780,2012,20,F,5,2,28,-1,12,,85,60,97,30,15,70,97,0,0,1
49781,2012,21,M,5,2,28,3,14,1,60,40,40,15,40,60,40,1,1,0
49782,2012,22,F,4,2,8,-1,12,,60,0,60,85,60,70,0,0,0,1
49783,2012,23,M,2,1,50,-2,12,,50,60,60,50,50,60,40,0,0,1
49784,2012,24,F,4,2,8,-3,10,,,,,,,,,0,0,1
49785,2012,25,M,2,1,50,0,10,,60,40,70,60,70,70,70,0,0,0
49786,2012,26,M,3,1,,-2,14,,,,,,,,,0,0,1
49787,2012,27,M,2,2,28,1,14,,85,15,40,60,40,97,50,0,1,0
